"","ACCOUNT_KEY","SEASON_YEAR","ACCOUNT_TYPE","sum(TICKET_SOLD)","sum(FLEX_PLAN_TICKET_SOLD)","sum(FULL_PLAN_TICKET_SOLD)","sum(FORTY_PLAN_TICKET_SOLD)","sum(GROUP_TICKET_SOLD)","sum(MINI_PLAN_TICKET_SOLD)","sum(SEASON_TICKET_SOLD)","sum(SINGLE_TICKET_SOLD)","sum(SIXPACK_PLAN_TICKET_SOLD)"
"16546",1405969,2024,"Business",4,0,0,0,0,0,0,4,0
"16547",1406261,2023,"Individual",2,0,0,0,0,0,0,2,0
"16548",1406261,2024,"Individual",12,0,0,0,0,0,0,12,12
"16549",1406439,2024,"Individual",4,0,0,0,0,0,4,0,0
"16550",1406580,2021,"Individual",15,0,0,0,0,0,0,15,0
"16551",1406904,2021,"Business",621,0,566,0,0,0,621,0,0
"16552",1406904,2022,"Business",629,0,572,0,0,0,628,1,0
"16553",1406904,2023,"Business",644,0,600,0,0,0,644,0,0
"16554",1406904,2024,"Business",641,0,608,0,0,0,636,5,0
"16555",1407144,2021,"Business",2,0,0,0,0,0,0,2,0
"16556",1407144,2022,"Business",6,0,0,0,0,0,0,6,0
"16557",1407144,2024,"Business",16,0,0,0,4,0,0,12,0
"16558",1407154,2022,"Individual",3,0,0,0,0,0,0,3,3
"16559",1407154,2023,"Individual",6,0,0,0,0,0,0,6,6
"16560",1407154,2024,"Individual",21,0,0,0,0,0,0,21,21
"16561",1407253,2023,"Individual",2,0,0,0,0,0,0,2,0
"16562",1407335,2021,"Individual",14,0,0,0,0,0,0,14,0
"16563",1407335,2023,"Individual",17,0,0,0,0,0,0,17,0
"16564",1407335,2024,"Individual",4,0,0,0,0,0,0,4,2
"16565",1407336,2021,"Business",20,0,0,0,20,0,0,0,0
"16566",1407336,2024,"Business",2,0,0,0,0,0,0,2,0
"16567",1407339,2023,"Individual",8,0,0,0,0,0,0,8,8
"16568",1407437,2022,"Individual",15,0,0,0,0,0,0,15,15
"16569",1407596,2021,"Individual",17,0,0,0,0,13,14,3,0
"16570",1407596,2022,"Individual",1,0,0,0,0,0,0,1,0
"16571",1407596,2023,"Individual",11,0,0,0,0,0,0,11,0
"16572",1407751,2024,"Individual",6,0,0,0,0,0,0,6,5
"16573",1407812,2024,"Individual",6,0,0,0,0,0,0,6,6
"16574",1408054,2021,"Individual",4,4,0,0,0,0,0,4,0
"16575",1408054,2022,"Individual",8,0,0,0,0,0,0,8,0
"16576",1408054,2023,"Individual",8,0,0,0,0,0,0,8,0
"16577",1408197,2021,"Individual",22,0,0,0,12,0,0,10,0
"16578",1408354,2022,"Individual",2,0,0,0,0,0,2,0,0
"16579",1408909,2021,"Individual",366,0,321,0,0,0,324,42,18
