ACCOUNT_KEY,AGE,GENDER,MARITAL_STATUS,INCOME_MIDPOINT,CHILDREN_IN_HH,NUMBER_OF_CHILDREN
423035,30,Male,Single,150000,N,
423062,58,Male,Single,112500,N,0
423122,,,,,,
423202,45,Female,Married,25000,Y,3
423258,76,Male,Single,65000,N,0
423298,59,Male,Married,75000,N,
423388,,,,,,
423448,63,Male,Married,35000,N,0
423541,54,Male,Married,150000,N,0
423554,46,Male,Married,42500,Y,2
423626,59,Male,Married,150000,N,0
423943,51,Male,Single,35000,Y,2
424024,39,Female,Single,150000,Y,5
424438,43,Male,Single,45000,Y,5
424814,39,Female,Married,150000,Y,1
425490,,,,,,
425722,64,Male,Married,150000,N,0
425810,62,Male,Married,112500,N,0
426102,30,Male,Single,187500,,
426179,29,Female,Married,150000,N,0
426221,,,,,,
426281,32,Male,Single,112500,Y,2
426385,27,Male,Single,7500,N,
426720,42,Female,Married,87500,N,0
426912,,Male,Married,150000,Y,1
427213,69,Female,Married,150000,N,0
427306,56,Female,Single,7500,N,0
427311,,,,,,
427364,33,Male,Single,137500,Y,1
427675,33,Male,Married,150000,Y,1
427738,61,Male,Married,112500,Y,1
427810,,,,,,
427955,79,Male,Single,65000,N,0
428099,58,Male,Married,112500,Y,1
428187,66,Male,Married,47500,N,0
428355,53,Female,Married,150000,Y,1
428492,57,Female,Married,150000,N,0
428551,67,Male,Married,95000,N,1
428621,,,,,,
428672,,,,,,
429073,,,,,,
429472,50,Male,Married,35000,Y,3
429555,52,Male,Married,150000,Y,1
429626,46,Female,Single,162500,Y,1
429995,50,Male,Married,35000,N,0
430343,55,Female,Married,95000,Y,2
430399,,,,,,
430563,88,Male,Married,27500,,
430597,56,Male,Married,45000,Y,1
430641,30,Male,Married,47500,Y,2
430647,48,Male,Married,45000,Y,2
430658,79,Female,Married,95000,Y,1
430692,,,,,,
430815,50,Female,Married,87500,Y,1
430912,78,Male,Married,250000,N,0
431128,67,Male,Single,112500,N,0
431345,52,Female,Single,150000,Y,1
431425,61,Male,Married,112500,N,0
431745,,,,,,
432103,,,,,,
432106,39,Male,Married,95000,Y,2
432215,62,Male,Married,150000,Y,2
432370,,,,,,
432413,28,Male,Married,87500,,
432415,42,Male,Married,112500,Y,5
432687,,,,,,
432760,,,,,,
432828,42,Male,Married,150000,Y,1
433236,40,Male,Single,150000,Y,2
433255,,,,,,
433424,37,Male,Single,65000,N,
433694,39,Male,Single,112500,N,0
433743,24,Female,Married,162500,Y,3
433857,,,Married,52500,Y,3
433878,68,Female,Single,112500,N,
434240,71,Female,Married,150000,N,0
434252,43,Female,Single,95000,N,1
434532,,,,,,
434644,49,Female,Married,150000,Y,3
434680,68,Male,Married,150000,N,0
434703,,,,,,
434845,44,Female,Single,65000,Y,1
434912,30,Female,Single,112500,Y,1
435190,43,Male,Single,65000,N,0
435224,,,,,,
435244,32,Male,Married,37500,Y,1
435305,47,Male,Married,150000,Y,3
435345,57,Female,Married,35000,N,
435385,40,Female,Married,125000,Y,1
435672,64,Male,Married,150000,N,0
435774,50,Female,,,,
435841,50,Male,Single,17500,N,0
436035,38,Female,Single,125000,Y,1
436182,59,Male,Married,150000,Y,1
436299,59,Female,Married,150000,N,0
436312,71,Male,Married,25000,N,
436520,57,Male,Single,85000,N,0
436594,,,,,,
436799,,,,,,
436937,62,Female,Married,250000,N,0
436949,70,Male,Married,65000,N,0
436970,21,Male,Single,65000,N,
437206,72,Male,Single,87500,N,0
437328,73,Male,Married,150000,Y,1
437449,55,Male,Married,25000,Y,1
437898,41,Male,Married,45000,Y,4
437909,52,Male,Single,150000,Y,2
438046,41,Female,Single,95000,Y,2
438117,38,Male,Married,125000,,
438159,56,Male,Married,125000,Y,1
438166,73,Male,Married,112500,N,0
438206,63,Male,Married,150000,N,
438354,54,Male,Married,87500,,
438574,48,Male,Married,150000,Y,1
438627,,,,,,
438644,34,Male,Single,7500,N,
438853,74,Female,Single,70000,N,0
438932,29,Female,Married,150000,N,
439034,46,Female,Married,32500,Y,1
439075,,,,,,
439116,56,Male,Married,137500,Y,3
439143,22,Male,Single,75000,Y,1
439164,45,Male,Single,25000,Y,1
439173,66,Male,Married,87500,N,0
439226,54,Male,Married,85000,N,1
439227,63,Male,Married,95000,N,2
439494,,,,,,
439593,55,Male,Single,35000,N,
439618,39,Male,Married,150000,Y,3
439680,67,Male,Single,95000,N,0
439706,61,Male,Married,45000,N,0
439777,,,Married,187500,Y,1
439950,51,Male,Married,112500,Y,1
440007,,,,,,
440028,44,Male,Single,25000,Y,2
440048,29,Male,Single,150000,N,0
440347,,,,,,
440603,,,,,,
440833,44,Male,Married,87500,Y,1
440844,38,Male,Married,150000,Y,1
440885,36,Male,Single,,N,
440954,44,Male,Married,150000,Y,3
440988,47,Female,Married,25000,Y,2
441064,59,Female,Married,7500,N,
441110,,,,,,
441172,61,Male,Married,75000,N,0
441304,,,Single,52500,Y,2
441321,46,Male,Married,75000,Y,3
441670,,,,,,
441854,42,Male,Married,112500,Y,1
442015,30,Female,Married,85000,Y,2
442162,52,Male,Married,150000,N,
442252,32,Male,Single,17500,Y,1
442451,57,Male,Married,150000,N,0
442580,46,Male,Married,87500,Y,1
442641,56,Male,Married,150000,N,0
442654,62,Male,Married,150000,N,1
443039,88,Male,Single,7500,N,0
443266,72,Male,Married,150000,N,0
443328,53,Male,Married,150000,N,0
443339,,,,,,
443534,25,Male,Single,45000,N,0
443694,39,Male,Married,137500,Y,2
444143,49,Male,Married,95000,Y,3
444292,31,Male,Single,137500,Y,1
444439,67,Male,Married,95000,N,0
444584,36,Male,Single,150000,Y,1
444696,66,Male,Single,225000,,
444811,59,Male,Married,95000,N,0
445089,,,,,,
445498,59,Male,Married,150000,Y,3
445629,44,Male,Married,70000,Y,4
445756,52,Male,Married,112500,Y,1
446052,51,Male,Married,150000,Y,1
446195,22,Male,Single,,N,
446308,58,Male,Single,65000,Y,1
446544,58,Female,Married,250000,Y,1
446741,61,Male,Married,95000,N,0
446749,43,Male,Married,112500,N,0
446900,41,Male,Married,150000,Y,3
446935,,,Married,112500,Y,3
446985,60,Male,Married,250000,Y,5
447263,46,Male,Single,87500,,
447491,77,Female,Married,150000,N,0
447570,,,,,,
447575,46,Female,Married,112500,Y,2
447614,60,Male,Married,150000,N,0
447685,28,Male,Married,87500,,
448386,58,Male,Married,137500,Y,2
448414,61,Male,Married,150000,Y,2
448459,82,Male,Single,85000,Y,1
448673,44,Male,Married,75000,Y,4
448721,39,Male,Married,112500,N,0
448778,63,Male,Married,150000,Y,2
448879,42,Female,Married,87500,Y,1
449048,38,Male,Single,45000,N,0
449374,54,Female,Single,65000,Y,1
449405,56,Female,Married,150000,Y,1
449440,,,,,,
449532,,,,,,
449715,54,Male,Single,70000,Y,2
449719,75,Female,Married,85000,N,0
449862,,,Married,225000,Y,1
450049,58,Male,Married,250000,,
450145,,,,,,
450210,,,,,,
450588,77,Male,Married,112500,N,
450868,,,,,,
451163,53,Male,Married,112500,Y,2
451179,,,,,,
451307,66,Male,Married,187500,Y,1
451376,26,Male,Married,25000,Y,1
451387,37,Male,Married,150000,N,0
451434,,,Single,35000,Y,3
451475,48,Male,Married,75000,Y,1
451882,48,Female,Single,12500,Y,3
451982,41,Female,Married,35000,Y,4
452215,41,Female,Married,150000,Y,4
452226,,,,,,
452264,50,Male,Married,85000,Y,1
452330,24,Male,Single,150000,N,0
452348,26,Male,Married,250000,,
452354,43,Male,Single,150000,Y,1
453169,65,Male,Married,150000,N,0
453311,49,Female,Married,65000,Y,3
453321,50,Male,Single,70000,N,0
453695,64,Male,Married,65000,N,
453760,36,Male,Married,112500,Y,1
454029,,,,,,
454288,44,Male,Married,95000,N,0
454774,54,Male,Married,125000,Y,2
454800,37,Male,Single,95000,N,
454879,38,Male,Single,87500,N,0
454897,43,Male,Married,137500,Y,2
454984,,,,,,
455118,,,,,,
455443,66,Male,Single,25000,N,0
455610,39,Male,Single,45000,N,0
455746,59,Male,Married,150000,N,
455798,74,Female,Married,45000,N,
455850,69,Male,Married,150000,N,0
455878,58,Male,Single,45000,N,
456067,54,Female,Married,150000,N,
456286,39,Male,Married,112500,Y,1
456594,57,Male,Single,75000,N,
456740,25,Male,Married,150000,N,3
456854,64,Male,Married,250000,N,0
456860,44,Male,Single,42500,Y,1
457221,35,Male,Married,7500,N,0
457239,,,,,,
458115,58,Male,Married,95000,N,0
458322,81,Male,Married,150000,N,0
458422,44,Male,Married,87500,N,0
458455,45,Male,Married,95000,Y,7
458457,55,Female,Single,112500,Y,2
458464,,,,,,
458524,,,,,,
458534,44,Male,Single,55000,N,0
458538,39,Female,Married,150000,Y,2
458842,42,Male,Married,95000,N,0
458991,66,Female,Married,95000,Y,1
459066,33,Male,Married,150000,Y,1
459550,,,,,,
459992,,Male,Single,162500,N,0
460051,55,Male,Single,17500,N,0
460223,,,,,,
460245,39,Female,Married,112500,Y,3
460277,61,Male,Married,95000,N,0
460547,,,,,,
460681,49,Male,Married,112500,Y,1
460746,26,Female,Single,250000,Y,1
460766,23,Female,Married,95000,Y,4
460793,70,Male,Married,85000,N,0
460823,26,Male,Married,75000,N,
460873,38,Male,Single,85000,Y,1
460910,,,,,,
460966,,,,,,
461023,,,,,,
461099,52,Female,Married,125000,Y,2
461102,,,,,,
461136,68,Male,Married,95000,N,0
461594,,,,,,
461614,63,Male,Married,150000,Y,1
461665,46,Male,Single,150000,N,0
461790,56,Male,Married,57500,,
461874,62,Male,Married,150000,N,
461938,31,Female,Single,35000,Y,1
461989,64,Male,Married,112500,N,
462056,,,,,,
462079,42,Male,Married,95000,Y,5
462283,44,Male,Married,150000,Y,3
462339,60,Male,Single,95000,N,0
462640,37,Male,Married,112500,Y,6
462721,62,,Married,125000,Y,2
462788,40,Female,Married,150000,Y,2
462818,54,Male,Married,162500,Y,1
462982,60,Male,Married,125000,Y,1
463176,67,Male,Married,95000,N,0
463296,55,Male,Single,75000,N,0
463316,68,Female,Married,85000,N,3
463550,81,Male,Single,85000,N,1
463611,56,Female,Married,87500,Y,3
463751,27,Male,Single,85000,N,0
464003,64,Male,Married,75000,N,
464062,68,Male,Married,70000,N,0
464195,,,,,,
464390,58,Male,Married,37500,,
464426,44,Female,Single,70000,N,0
464511,68,Male,Married,250000,Y,1
464841,44,Female,Married,112500,Y,4
464874,23,Male,Single,112500,N,
465176,64,Female,Single,75000,N,0
465681,,,,,,
465692,,,Single,57500,N,0
465698,66,Male,Married,112500,N,0
465805,,,,,,
465856,,,,,,
465976,61,Male,Married,150000,Y,1
466181,57,Male,Single,95000,Y,2
466381,39,Female,Married,150000,Y,3
466428,32,Female,Single,35000,Y,1
466442,60,Male,Married,150000,Y,1
466773,44,Female,Married,45000,Y,5
467134,67,Female,Single,65000,N,0
467171,,,,,,
467180,58,Male,Married,150000,Y,3
467543,61,Female,Married,150000,N,0
467597,,,,,,
467619,36,Female,Married,150000,Y,4
467787,,,,,,
467794,36,Male,Married,150000,Y,3
467825,66,Female,Married,35000,Y,2
467826,74,Male,Married,187500,Y,1
468020,64,Male,Married,150000,N,
468074,26,Male,Married,150000,N,
468163,55,Male,Single,65000,Y,1
468344,68,Male,Married,112500,Y,3
468388,32,Male,Single,95000,N,
468536,59,Female,Single,25000,N,0
468571,49,Male,Married,112500,N,0
468710,60,Female,Single,150000,N,
468760,59,Female,Married,150000,Y,1
468829,46,Female,Married,150000,Y,4
469012,,,,,,
469106,66,Male,Married,87500,,
469191,,,,,,
469234,30,Male,Married,65000,N,
469442,59,Male,Married,95000,N,0
469505,66,Female,Married,125000,Y,1
469571,29,Male,Married,112500,Y,2
469607,,,,,,
469662,62,Male,Married,125000,N,0
469744,,,,,,
469827,48,Male,Married,125000,N,0
469831,46,Female,Single,150000,N,0
469940,68,Male,Married,150000,N,0
470061,,,Married,45000,N,0
470155,56,Male,Single,17500,,
470166,,,,,,
470323,58,Female,Married,150000,N,0
470583,,,,,,
470843,64,Male,Married,162500,N,0
471071,39,Male,Single,85000,N,0
471136,67,Male,Married,45000,N,3
471207,75,Male,Married,150000,Y,1
471297,68,Male,Married,125000,N,0
471574,35,Male,Married,137500,Y,1
471581,41,Male,Single,112500,Y,1
471682,44,Male,Married,250000,Y,2
471988,50,Male,Married,95000,Y,2
472287,,,,,,
472379,,,,,,
472819,52,Female,Married,70000,Y,3
472890,,,,,,
472955,48,Male,Married,70000,Y,4
473539,41,Female,Married,150000,Y,3
473541,64,Female,Married,65000,N,0
473602,69,Female,Married,150000,Y,4
473663,63,Male,Single,150000,N,0
473842,31,Male,Single,150000,N,
473939,65,Male,Married,65000,Y,2
473989,41,Male,Single,150000,Y,1
474142,41,Male,Single,112500,Y,1
474214,41,Male,Married,137500,Y,1
474216,34,Male,Single,225000,Y,1
474583,78,Male,Single,150000,Y,2
474707,61,Male,Married,65000,N,
474845,78,Male,Married,150000,N,0
474904,,,,,,
474992,37,Male,Married,95000,N,
475068,83,Male,Single,65000,Y,2
475219,79,Male,,,,
475349,,,,,,
475446,64,Male,Married,150000,N,0
475523,47,Male,Single,7500,N,0
475556,,,,,,
475577,,Male,Single,,N,
475602,47,Male,Single,75000,N,0
475690,24,Male,Single,25000,Y,4
475695,44,Male,Single,17500,N,0
476002,46,Male,Single,162500,Y,4
476013,65,Male,Married,75000,N,0
476093,26,Male,Single,,,
476121,,,,,,
476465,44,Female,Single,75000,Y,1
476466,77,Male,Married,150000,N,0
476616,48,Male,Married,150000,Y,1
476631,,,,,,
476646,,Male,Single,,Y,1
476711,52,Male,Married,75000,Y,3
476717,,,,,,
476772,62,Male,Single,70000,N,0
476798,95,Female,Married,150000,N,0
477140,66,Male,Married,150000,N,0
477168,,,Married,150000,N,0
477345,66,Female,Married,137500,N,0
477555,45,Male,Married,150000,Y,1
477600,31,Male,Single,45000,Y,1
477760,47,Male,Married,150000,Y,3
478006,64,Male,Married,85000,N,0
478041,42,Male,Single,150000,Y,3
478240,49,Male,Married,137500,Y,1
478315,,,,,,
478370,,,,,,
478478,75,Male,Single,150000,Y,2
478480,,,,,,
478577,62,Male,Married,125000,Y,1
478608,52,Male,Married,150000,Y,2
478906,62,Male,Married,250000,,
479304,70,Female,Single,70000,,
479318,26,Female,Single,57500,,
479331,69,Male,Married,150000,N,0
479370,,,,,,
479661,57,Female,Single,137500,Y,1
479688,70,Male,Married,162500,,
479719,56,Male,Married,75000,N,4
479799,68,Male,Married,32500,N,0
479853,57,Male,Married,150000,Y,2
480197,73,Male,Married,45000,N,0
480303,42,Male,Married,95000,N,1
480354,26,Male,Married,125000,,
480367,57,Male,Married,150000,Y,1
480538,44,Male,Single,150000,Y,5
480627,38,Male,Single,45000,Y,1
480687,74,Male,Married,70000,,
480707,,,,,,
480976,40,Male,Single,95000,N,0
481139,59,Male,Married,150000,N,
481178,,,,,,
481362,69,Male,Married,137500,N,0
481404,99,Male,Married,95000,Y,5
481479,,,,,,
481605,60,Female,Married,75000,N,
481653,,,,,,
481697,38,Male,Married,150000,Y,3
481947,,,,,,
481981,49,Male,Married,150000,Y,3
482351,,,,,,
482361,41,Female,Married,150000,Y,5
482990,,,,,,
483170,52,Male,Single,22500,Y,1
483357,36,Female,Married,150000,Y,2
484167,,,,,,
484356,52,Female,Married,70000,,
484413,61,Female,Single,75000,N,0
484689,28,Male,Single,37500,Y,1
484834,64,Male,Married,87500,N,0
484842,70,Male,Married,150000,N,0
484975,57,Male,Single,35000,N,0
484991,52,Female,Single,75000,N,0
485250,60,Male,Married,150000,Y,1
485788,63,Male,Married,95000,Y,1
485798,27,Male,Single,75000,N,
485899,63,Male,Single,112500,N,
485971,26,Male,Single,187500,,
486072,44,Male,Married,112500,N,0
486297,40,Male,Married,112500,Y,1
486336,26,Male,Single,37500,,
486429,73,Female,Married,112500,Y,1
486797,,,,,,
486960,49,Male,Married,150000,Y,5
487120,54,Male,Single,150000,N,0
487135,31,Male,Single,95000,Y,1
487185,40,Female,Married,250000,Y,1
487279,77,Male,Married,17500,N,0
487321,26,Female,Single,250000,,
487684,52,Female,Married,85000,N,
487785,63,Male,Married,112500,N,0
488138,28,Female,Married,150000,N,
488387,42,Male,Single,225000,Y,1
488448,,,,,,
488562,,,Married,75000,N,0
488585,78,Male,Single,150000,Y,1
488888,,,,,,
489161,47,Male,Married,150000,Y,5
489474,,,,,,
489497,,,,,,
489597,81,Male,Married,65000,N,0
490373,44,Male,Single,150000,Y,2
490388,,,,,,
490578,50,Male,Married,95000,Y,1
490744,53,Male,Single,112500,N,0
490805,25,Male,Single,25000,Y,1
491134,62,Male,Married,150000,N,0
491208,,,,,,
491368,53,Male,Married,150000,N,2
491422,90,Male,Single,250000,Y,2
491598,,,,,,
492033,82,Female,Married,112500,N,0
492058,66,Female,Married,150000,N,
492216,52,Male,Single,27500,,
492260,62,Female,Married,95000,Y,2
492300,44,Male,Single,125000,Y,2
492525,60,Male,Married,137500,N,0
492989,,,,,,
493198,58,Male,Married,125000,N,0
493263,60,Male,Married,225000,N,0
493294,54,Female,Married,87500,N,0
493539,70,Female,Married,150000,N,0
493706,,,Single,87500,Y,1
493968,41,Female,Married,150000,Y,4
494065,48,Female,Single,75000,N,0
494280,,,,,,
494416,67,Female,Married,112500,N,0
494592,53,Male,Married,150000,Y,3
494735,70,Male,Single,112500,N,
494757,,,,,,
495403,34,Female,Single,112500,Y,1
495422,,,,,,
495671,38,Female,Married,125000,Y,5
495874,75,Female,Single,25000,N,0
495890,35,Male,Single,95000,N,0
495899,64,Male,Married,25000,Y,1
496221,,,,,,
496292,,,,,,
496299,,,,,,
496635,,,,,,
496852,48,Female,Married,150000,N,1
496906,34,Male,Married,150000,Y,1
497027,52,Male,Married,250000,Y,1
497073,43,Male,Married,150000,Y,3
497325,66,Male,Married,150000,Y,1
497453,56,Male,Married,125000,,
497521,63,Female,Married,150000,N,
497565,61,Male,Single,85000,N,1
497668,42,Female,Married,150000,Y,1
497729,50,Male,Single,162500,N,0
497845,40,Male,Married,150000,Y,1
497878,54,Female,Single,150000,Y,1
497880,58,Female,Married,150000,N,1
498001,,,,,,
498259,,,,,,
498403,46,Male,Single,65000,N,4
498448,64,Male,Single,32500,N,0
499059,72,Female,Married,137500,Y,3
499139,34,Male,Single,112500,Y,1
499204,42,Male,Single,150000,N,0
499287,,,Married,17500,Y,1
499288,28,Male,Married,187500,Y,1
499511,53,Male,Married,150000,N,
499567,56,Male,Married,87500,Y,2
499585,45,Male,Married,95000,N,0
499588,49,Female,Single,150000,Y,2
499659,50,Male,Married,95000,Y,1
499979,55,Male,Married,112500,Y,1
499992,56,Male,Married,150000,Y,4
500357,,,,,,
500690,40,Male,Married,137500,Y,1
500840,55,Male,Married,75000,Y,2
500855,42,Male,Single,137500,Y,1
500966,69,Female,,,,
501112,,,,,,
501248,,,,,,
501689,74,Male,Married,95000,N,
501864,59,Male,Married,95000,N,2
502040,60,Male,Married,250000,Y,1
502152,,,,,,
502295,,Male,Single,112500,N,
502303,60,Male,Married,25000,N,1
502352,57,Male,Single,150000,N,0
502423,28,Male,Single,112500,N,
502507,27,Male,Single,55000,N,0
502561,,,,,,
502693,68,Male,Married,87500,N,0
503044,44,Female,Married,150000,Y,3
503069,68,Female,Single,95000,N,0
503114,,,,,,
503143,,,,,,
503355,62,Male,Married,225000,N,0
503468,44,Male,Married,112500,Y,4
503592,54,Male,Single,125000,Y,1
503638,,,,,,
503804,34,Male,Single,75000,Y,1
504056,30,Male,Single,65000,N,0
504129,,,,,,
504187,52,Male,Married,70000,Y,5
504449,48,Male,Married,75000,Y,5
504724,,,Married,250000,Y,5
504727,,,,,,
504730,40,Male,Married,187500,Y,3
504829,66,Male,Married,150000,N,0
504852,20,Male,Single,125000,Y,3
504914,77,Male,Married,150000,N,0
504962,45,Female,Married,25000,Y,4
505010,76,Male,Married,95000,Y,1
505147,50,Female,Married,112500,Y,1
505196,44,Male,Single,150000,Y,1
505311,33,Male,Single,150000,Y,3
505388,48,Male,Married,250000,Y,2
505586,,,,,,
505765,67,Male,Married,75000,N,0
505986,,,,,,
506031,40,Female,Married,112500,N,0
506136,52,Female,Single,87500,,
506275,67,Male,Married,35000,N,
506431,40,Male,Married,250000,N,0
506439,54,Male,Single,75000,N,0
506640,,,,,,
506810,58,Female,Single,7500,N,0
506863,29,Female,Single,55000,Y,1
506966,,,,,,
507243,50,Male,Married,150000,N,0
507512,,,,,,
507551,28,Male,Single,47500,N,0
507606,54,Male,Married,95000,N,0
507608,,,,,,
507710,72,Male,Married,87500,Y,1
507746,35,Female,Single,112500,Y,1
507825,,,,,,
507911,58,Male,Married,150000,Y,1
508236,,,,,,
508267,47,Female,Married,150000,Y,2
508361,59,Male,Married,112500,N,0
508376,,,,,,
508577,58,Male,Single,75000,N,2
508989,,,,,,
509096,70,Female,Married,95000,Y,4
509150,64,Male,Married,57500,Y,2
509211,,,Married,250000,Y,4
509264,43,Female,Single,55000,N,
509284,49,Male,Married,150000,Y,1
509468,,,,,,
509525,67,Male,Married,150000,Y,1
509824,66,Male,Single,87500,,
509899,,,,,,
510189,47,Male,Single,225000,N,1
510335,60,Male,Married,125000,,
510480,,,,,,
510515,60,Female,Married,95000,Y,1
510840,37,Female,Married,45000,Y,3
510843,,,,,,
510859,,Male,Married,,Y,1
511016,,,,,,
511086,72,Male,Married,75000,Y,1
511193,68,Male,Married,150000,N,0
511346,33,Male,Single,150000,N,
511375,58,Male,Married,162500,N,0
511430,49,Female,Married,150000,N,0
511853,,,,,,
512028,62,Male,Married,125000,Y,3
512230,30,Male,Married,150000,Y,2
512653,,,,,,
512739,46,Male,Married,125000,Y,3
512803,42,Male,Single,112500,N,0
513051,,,,,,
513068,24,Male,Married,125000,,
513342,44,Female,Married,150000,Y,2
513608,64,Male,Single,87500,Y,1
513734,,,,,,
514032,72,Male,Married,70000,N,0
514431,54,Male,Married,47500,Y,1
514596,33,Female,Married,85000,Y,5
514792,51,Female,Married,95000,Y,4
515160,46,Male,Married,150000,Y,2
515203,,,,,,
515263,46,Male,Married,250000,N,0
515323,41,Male,Married,150000,Y,1
515373,48,Female,Married,125000,Y,1
515469,,,,,,
515479,42,Male,Single,150000,Y,1
515483,63,Male,Married,150000,Y,1
515687,38,Male,Married,87500,Y,1
515795,,,,,,
516178,29,Male,Single,112500,Y,1
516211,,,,,,
516356,42,Male,Married,112500,Y,2
516380,57,Male,Married,150000,Y,3
516517,,,,,,
516559,39,Male,Single,150000,Y,2
516631,,,,,,
516670,26,Male,Single,47500,N,0
516817,32,Male,,,N,
516856,58,Male,Married,75000,N,
516869,56,Male,Married,112500,N,
516923,60,Male,Married,75000,N,
516924,37,Male,Married,75000,Y,3
517221,44,Male,Married,87500,Y,1
517514,62,Male,Married,150000,N,0
517660,56,Male,Single,150000,N,
517661,68,Male,Married,150000,N,0
517735,56,Female,Married,65000,N,
517769,41,Female,Married,150000,Y,1
517814,52,Male,Married,85000,N,0
517931,,,,,,
517937,44,Female,Married,85000,Y,4
518301,48,Female,Married,45000,Y,2
518313,33,Male,Single,12500,Y,1
518598,,,,,,
518700,48,Male,Married,137500,Y,1
518906,,,,,,
519129,,,,,,
519233,44,Male,Married,150000,Y,1
519256,55,Male,Married,75000,N,1
519441,52,Male,Married,57500,N,0
519519,,,,,,
519651,,,,,,
519713,,,,,,
519779,60,Male,Married,150000,Y,3
519935,69,Female,Married,45000,N,
520168,26,,Single,162500,Y,1
520448,,,,,,
520756,61,Male,Married,150000,N,
521317,70,Male,Married,137500,Y,3
521575,55,Male,Married,150000,Y,1
521660,57,Female,Married,150000,N,
521684,51,Male,Married,150000,Y,4
521700,,,,,,
521723,74,Male,Married,162500,Y,3
521798,51,Male,Married,85000,N,0
521895,61,Female,Married,75000,N,0
521955,62,Male,Single,150000,N,0
522196,43,Male,Married,150000,Y,2
522409,56,Male,Married,150000,N,2
522567,76,Female,Married,150000,N,0
522569,68,Male,Single,95000,N,0
522665,42,Female,Single,187500,Y,4
522809,53,Female,Married,75000,N,
522860,52,Male,,,,
523109,,,,,,
523188,,,,,,
523271,83,Male,Married,112500,N,0
523458,55,Female,Married,150000,Y,1
523672,61,Male,Single,150000,Y,1
523706,61,Male,Married,150000,N,
523835,60,Male,Married,250000,Y,1
523851,55,Male,Married,85000,Y,2
523913,42,Male,Married,150000,N,
523956,32,Male,Married,250000,Y,1
524148,64,Male,Married,150000,N,0
524171,85,Male,Married,112500,N,0
524181,55,Female,Married,150000,N,
524391,,,,,,
524422,63,Male,Single,137500,N,0
524457,28,Male,Married,150000,N,
524729,52,Male,Married,25000,N,
525016,75,Female,Married,137500,N,0
525186,37,Female,Married,150000,N,0
525223,71,Male,Married,95000,N,0
525250,62,Male,Married,187500,N,0
525329,,,Married,57500,N,0
525453,19,Male,Married,75000,Y,6
525468,,,,,,
525657,39,Female,Single,150000,Y,3
526037,,,,,,
526164,38,Male,Single,42500,Y,1
526241,59,Female,Married,150000,N,2
526465,69,Male,Married,45000,N,0
526475,,,,,,
526514,38,Male,Married,150000,Y,2
526684,36,Male,Married,75000,N,0
526810,60,Male,Married,125000,,
526850,,,,,,
526884,56,Female,Married,75000,N,0
527042,57,Male,Married,95000,Y,2
527094,43,Male,Married,150000,Y,4
527256,,,,,,
527535,68,Male,Married,47500,Y,1
527815,62,Male,Married,225000,N,0
527845,66,Male,Married,45000,Y,3
527866,35,Female,Married,112500,N,0
528407,43,Male,Married,150000,Y,1
528562,,,,,,
528682,39,Female,Married,7500,Y,1
528886,26,Male,Single,25000,Y,1
529075,,,,,,
529152,,,,,,
529180,51,Female,Married,112500,Y,1
529192,,,,,,
529197,48,Male,Married,150000,Y,4
529211,,,,,,
529347,22,Male,Married,95000,Y,4
529511,70,Female,Married,75000,N,
529609,,,,,,
529795,24,Male,Married,125000,,
529913,38,Female,Single,57500,Y,2
530429,,,,,,
530445,70,Male,Married,95000,N,0
530667,69,Male,Married,65000,N,0
530686,53,Female,Married,112500,Y,2
531198,42,Female,Married,95000,N,
531218,78,Female,Married,42500,N,0
531249,30,Male,Married,125000,Y,3
531303,79,Male,Married,112500,N,0
531416,,,,,,
531490,55,Male,Married,150000,Y,3
531531,38,Female,Married,187500,Y,5
531576,55,Male,Married,150000,Y,1
531605,26,Female,Single,112500,Y,1
531857,,,,,,
531965,62,Male,Married,112500,N,0
532334,68,Male,Married,35000,N,1
532615,64,Male,Married,125000,Y,1
532696,,,,,,
532714,48,Male,Single,7500,Y,1
532967,,,,,,
533153,34,Male,Married,150000,Y,3
533403,,,,,,
533461,45,Male,Married,70000,Y,2
533869,26,Male,Single,95000,N,
534033,36,Male,Married,150000,N,0
534183,,,Single,112500,N,0
534280,34,Male,Married,162500,Y,1
534400,,,,,,
534440,42,Male,Married,162500,N,0
534520,36,Male,Single,150000,Y,2
534869,,,,,,
534954,61,Male,Married,150000,Y,2
535163,53,Male,Married,150000,Y,5
535196,81,Male,Married,75000,N,
535261,,,,,,
535476,33,Male,Married,150000,N,
535565,,,,,,
535625,52,Female,Married,112500,Y,1
535800,54,Female,Married,112500,N,
536129,35,Male,Married,55000,Y,1
536229,61,Male,Single,150000,N,0
536478,41,Male,Married,65000,N,0
536761,26,Male,Married,95000,N,
536928,38,Female,Married,35000,Y,1
536959,30,Male,Single,112500,N,
537387,48,,Married,87500,Y,2
537431,34,Male,Single,35000,Y,1
537506,33,Male,Married,95000,N,0
537519,51,Male,Single,85000,Y,1
538091,42,Male,Married,150000,Y,2
538219,,Male,Single,187500,N,0
538228,,,,,,
538230,79,Male,Married,150000,Y,1
538551,36,Female,Married,35000,Y,2
538614,43,Female,Married,95000,Y,1
538813,,,,,,
538956,51,Female,Single,112500,N,0
539087,72,Male,Married,250000,N,0
539366,45,Male,Married,112500,Y,1
539405,70,Male,Married,75000,Y,1
539805,34,Male,Married,150000,Y,2
540032,74,Male,Married,125000,N,0
